"job_title_short","job_schedule_type","salary_year_avg","job_posted_date","job_location","name"
"Data Analyst","Full-time","222500.0","2023-01-11 06:02:38","Los Angeles, CA","TikTok"
"Data Analyst","Full-time","217550.0","2023-12-29 15:00:31","Los Angeles, CA","TikTok"
"Data Analyst","Full-time","204584.5","2023-06-17 14:00:38","Los Angeles, CA","TikTok"
"Senior Data Analyst","Full-time","190063.0","2023-12-29 13:00:29","Los Angeles, CA","TikTok"
"Senior Data Analyst","Full-time","182500.0","2023-06-06 20:03:18","Los Angeles, CA","Quizlet"
"Data Analyst","Full-time","172118.5","2023-11-06 12:00:40","Los Angeles, CA","TikTok"
"Senior Data Analyst","Full-time","168274.5","2023-03-14 14:06:37","Los Angeles, CA","StubHub"
"Senior Data Analyst","Full-time","162500.0","2023-10-31 22:00:33","Los Angeles, CA","Wilshire Law Firm"
"Data Analyst","Full-time","160000.0","2023-02-17 10:01:37","Los Angeles, CA","MediaAlpha"
"Data Analyst","Full-time","158950.0","2023-10-17 06:00:48","Los Angeles, CA","UCLA Health"
